num_expl;et
0;2161
0;2055
0;2045
0;2915
0;2418
0;1408
0;1405
0;1398
0;1392
0;2864
0;1306
0;1420
0;1418
0;1180
0;1337
0;1279
0;1432
0;1400
0;1268
0;1408
0;1298
0;1428
0;1375
0;1398
0;1287
0;1340
0;1434
0;1410
0;1524
0;1167
0;1499
0;1173
0;2233
0;1352
0;1337
0;1257
0;1367
0;1496
0;1435
0;1222
0;1242
0;1148
0;1264
0;1282
0;1166
0;1223
0;1123
0;1270
0;1305
0;1140
0;1266
0;1146
0;1290
0;1325
0;1161
0;5103
0;1153
0;1183
0;1165
0;592
0;1118
0;8544
0;1514
0;1035
0;1101
0;1185
0;1030
0;1050
0;1085
0;6126
0;1216
0;1623
0;1100
0;1066
0;1469
0;1272
0;1167
0;1076
0;925
0;1288
0;941
0;1123
0;686
0;673
0;704
0;529
0;763
0;394
0;265
0;105
0;471
0;183
0;131
0;207
0;110
0;174
0;189
0;186
0;176
0;188
0;116
0;191
0;101
0;122
0;230
0;108
0;124
0;97
0;62
0;78
0;53
0;146
0;199
0;196
0;196
0;140
0;157
0;135
0;144
0;109
0;151
0;149
0;157
0;47
0;146
0;148
0;155
0;148
0;131
0;129
0;141
0;142
0;123
0;148
0;147
0;140
0;139
0;148
0;151
0;127
0;127
0;151
0;148
0;305
0;305
0;327
0;327
0;233
0;281
0;274
0;281
0;208
0;248
0;248
0;269
0;126
0;253
0;253
0;259
0;189
0;193
0;261
0;241
0;241
0;110
0;228
0;240
0;226
0;195
0;198
0;218
0;234
0;248
0;175
0;180
0;252
0;224
0;191
0;235
0;241
0;233
0;132
0;224
0;233
0;173
0;252
0;176
0;204
0;224
0;249
0;180
0;177
0;232
0;732
0;726
0;827
0;747
0;729
0;813
0;132
0;108
0;104
0;160
0;99
0;100
0;153
0;110
0;104
0;182
0;186
0;105
0;105
0;101
0;175
0;112
0;103
0;105
0;171
0;159
0;150
0;161
0;173
0;271
0;247
0;159
0;106
0;195
0;168
0;187
0;112
0;102
0;170
0;102
0;145
0;104
0;99
0;101
0;130
0;102
0;98
0;98
0;100
0;100
0;101
0;99
0;162
0;103
0;255
0;243
0;148
0;106
0;169
0;150
0;169
0;101
0;175
0;179
0;177
0;187
0;178
0;132
0;215
0;181
0;132
0;175
0;191
0;118
0;117
0;102
0;99
0;101
0;124
