num_expl;et
0;166
0;178
0;485
0;202
0;168
0;150
0;106
0;268
0;204
1;2602
1;1891
1;1770
1;2096
1;2002
1;2119
1;2158
1;1860
1;1619
1;1550
1;1606
1;1699
1;1719
1;1536
1;1737
1;1625
1;1717
1;1574
1;1635
1;1468
1;1517
1;1527
1;1675
0;113
0;123
0;68
0;70
0;83
0;61
0;73
0;60
0;58
0;58
0;81
0;58
0;58
0;201
0;331
0;166
0;455
0;112
0;264
0;234
0;268
0;224
0;236
0;245
0;224
0;282
0;248
0;238
0;280
0;214
0;280
0;219
0;220
1;4196
0;432
0;237
0;850
0;218
0;247
0;134
0;130
0;132
0;320
0;338
0;423
0;287
0;289
0;356
0;268
0;336
0;294
1;4076
0;215
0;173
0;136
0;127
0;290
0;305
0;374
0;230
0;282
0;284
0;253
0;278
0;287
1;3510
0;233
0;149
0;133
0;122
0;201
0;129
1;3653
1;3104
1;2840
1;2903
1;2721
1;2684
1;2587
1;2724
1;2798
1;2908
1;3047
0;133
0;106
0;122
0;186
0;138
0;118
0;140
0;218
0;113
0;131
0;105
0;126
0;117
0;102
1;1612
1;3883
0;102
0;89
0;157
0;161
0;65
0;64
0;104
0;42
0;107
