;seed;moves;score;hints;efficiency;hints_w_implicit;avg_explicit_info;avg_implicit_info
88;329.0;72.0;16.0;32.0;0.5;0.3125;0.905041103335954;0.09209103055548183
89;340.0;72.0;17.0;32.0;0.53125;0.375;0.9007159792578368;0.12675744892330962
90;7.0;68.0;12.0;28.0;0.42857142857142855;0.32142857142857145;0.9761712001106578;0.1272070289753824
91;391.0;70.0;15.0;30.0;0.5;0.3333333333333333;0.9322733723902458;0.14025268382551437
92;178.0;71.0;17.0;31.0;0.5483870967741935;0.2903225806451613;0.895857351348598;0.08940389262853646
93;331.0;70.0;14.0;30.0;0.4666666666666667;0.4;0.9732412792441216;0.15522243486282833
94;47.0;69.0;17.0;29.0;0.5862068965517241;0.27586206896551724;1.1752651525691113;0.10679000044855366
95;150.0;67.0;16.0;27.0;0.5925925925925926;0.4074074074074074;1.0332625276316336;0.21160076297107178
96;0.0;74.0;15.0;34.0;0.4411764705882353;0.29411764705882354;1.0351701055510107;0.09973825247475683
97;341.0;72.0;16.0;32.0;0.5;0.3125;0.9591856811620199;0.10998437040186058
98;384.0;72.0;15.0;32.0;0.46875;0.3125;0.9511662951835921;0.13524447413287244
99;81.0;73.0;15.0;33.0;0.45454545454545453;0.36363636363636365;0.890913290164942;0.17797353829134852
100;376.0;70.0;15.0;30.0;0.5;0.36666666666666664;0.9716792605667953;0.1549944540451515
101;163.0;72.0;16.0;32.0;0.5;0.40625;0.8183444914680063;0.17248437040186057
102;158.0;72.0;15.0;32.0;0.46875;0.34375;0.903199830295201;0.15262240085587228
103;336.0;71.0;17.0;31.0;0.5483870967741935;0.3870967741935484;0.8926638605843913;0.16067503609847364
104;154.0;69.0;19.0;29.0;0.6551724137931034;0.27586206896551724;1.0049352764051642;0.13124758530978922
105;321.0;71.0;12.0;31.0;0.3870967741935484;0.25806451612903225;0.9060034173781488;0.08303326670089416
106;443.0;74.0;16.0;34.0;0.47058823529411764;0.3235294117647059;0.9514428611558415;0.1297163348068962
107;314.0;71.0;16.0;31.0;0.5161290322580645;0.41935483870967744;0.9055456153071019;0.1820786641763819
108;317.0;73.0;14.0;33.0;0.42424242424242425;0.3333333333333333;0.9125623227685359;0.1453759408992843
109;202.0;73.0;15.0;33.0;0.45454545454545453;0.2727272727272727;0.9113899091437364;0.12216634108211363
110;123.0;72.0;17.0;32.0;0.53125;0.15625;0.9708938329370975;0.06514300868544784
111;228.0;74.0;13.0;34.0;0.38235294117647056;0.29411764705882354;0.8485937972682358;0.13427227480647688
112;238.0;72.0;16.0;32.0;0.5;0.34375;0.883412822919098;0.13897368847944436
113;393.0;74.0;14.0;34.0;0.4117647058823529;0.38235294117647056;0.931656395821217;0.15322102983948915
114;339.0;72.0;16.0;32.0;0.5;0.53125;0.7822357530591523;0.21801443859354747
115;73.0;71.0;11.0;31.0;0.3548387096774194;0.12903225806451613;1.0671683619956454;0.03373411259873146
116;176.0;73.0;14.0;33.0;0.42424242424242425;0.36363636363636365;0.9720813618703883;0.14249789504380378
117;418.0;72.0;16.0;32.0;0.5;0.34375;0.9341171829393102;0.1277962875839824
118;209.0;70.0;15.0;30.0;0.5;0.43333333333333335;0.8602313080024216;0.17358601715884772
119;19.0;72.0;15.0;32.0;0.46875;0.40625;0.9375116323517494;0.12670665795490274
120;300.0;73.0;15.0;33.0;0.45454545454545453;0.3333333333333333;0.9514081036493042;0.13252641870246365
121;416.0;70.0;16.0;30.0;0.5333333333333333;0.43333333333333335;0.9385510497345693;0.17752266089478086
122;325.0;74.0;14.0;34.0;0.4117647058823529;0.3235294117647059;0.8082206935950499;0.12308959122672375
123;112.0;72.0;16.0;32.0;0.5;0.34375;0.8498840242942348;0.1572340392409297
124;214.0;74.0;14.0;34.0;0.4117647058823529;0.35294117647058826;0.9212956831455806;0.11521881945681108
125;115.0;74.0;13.0;34.0;0.38235294117647056;0.35294117647058826;0.8824456328787682;0.10423729542206693
126;498.0;70.0;13.0;30.0;0.43333333333333335;0.3333333333333333;0.8580373171019336;0.15428814407615354
127;334.0;67.0;16.0;27.0;0.5925925925925926;0.3333333333333333;0.9870623685300962;0.12564981395501226
128;110.0;78.0;10.0;38.0;0.2631578947368421;0.42105263157894735;0.8597148252916054;0.13468682400205245
129;136.0;71.0;15.0;31.0;0.4838709677419355;0.3548387096774194;1.0197214622010589;0.12255937256301877
130;216.0;73.0;15.0;33.0;0.45454545454545453;0.42424242424242425;0.9429533914462027;0.10894607778174717
131;59.0;72.0;16.0;32.0;0.5;0.3125;0.9418675309747719;0.11872939217042443
132;354.0;70.0;18.0;30.0;0.6;0.36666666666666664;0.8610722457090734;0.15745399451718212
133;330.0;72.0;16.0;32.0;0.5;0.3125;1.0204825759765217;0.10155867103801874
134;223.0;71.0;19.0;31.0;0.6129032258064516;0.25806451612903225;0.9694809012783168;0.11471943550862217
135;494.0;73.0;16.0;33.0;0.48484848484848486;0.3939393939393939;0.8857701897697784;0.15455668318538068
136;396.0;70.0;17.0;30.0;0.5666666666666667;0.4;0.9047142821523013;0.21508510210763085
137;138.0;72.0;15.0;32.0;0.46875;0.34375;1.100805903785168;0.1627973442044572
138;308.0;72.0;15.0;32.0;0.46875;0.34375;0.8788887257889777;0.14876320260697537
139;215.0;68.0;16.0;28.0;0.5714285714285714;0.2857142857142857;1.0104307638389067;0.11462553623366538
140;107.0;68.0;20.0;28.0;0.7142857142857143;0.2857142857142857;1.0303100264903693;0.14568504450170086
141;75.0;76.0;13.0;36.0;0.3611111111111111;0.3055555555555556;0.9806745777953467;0.09292619704391826
142;177.0;77.0;11.0;37.0;0.2972972972972973;0.43243243243243246;0.8016942420421457;0.1560749285935904
143;220.0;73.0;13.0;33.0;0.3939393939393939;0.21212121212121213;0.9322405560040158;0.08557299214982783
144;414.0;71.0;17.0;31.0;0.5483870967741935;0.3225806451612903;0.9081932432894986;0.1440286063968597
145;205.0;71.0;15.0;31.0;0.4838709677419355;0.3548387096774194;0.9505917249065372;0.14946933054960362
146;307.0;71.0;12.0;31.0;0.3870967741935484;0.45161290322580644;0.8876405478894314;0.17038568111989236
